algorithm,precision,recall,f1_score,support
LogisticRegression,0.7644144144144144,0.7297297297297297,0.6747620958147275,37.0
NaiveBayes,0.6148648648648649,0.2702702702702703,0.2975975975975976,37.0
SVM,0.5782145782145781,0.43243243243243246,0.3858629565526117,37.0
DecisionTree,0.7335585585585586,0.6756756756756757,0.6792792792792792,37.0
RandomForest,0.8567567567567568,0.8378378378378378,0.8268238827062357,37.0
ExtraTrees,0.8837837837837839,0.8648648648648649,0.854123910006263,37.0
LightGBM,0.8378378378378378,0.8108108108108109,0.8006158564982095,37.0
CatBoost,0.8447174447174447,0.8378378378378378,0.8184411684411684,37.0
XGBoost,0.8065315315315315,0.7837837837837838,0.7792792792792792,37.0
MLP,0.8897468897468899,0.8648648648648649,0.8512647262647262,37.0
Transformer,0.20704340704340707,0.2702702702702703,0.2178249678249678,37.0
