y_true,y_pred,correct,max_prob
11,11,True,0.93552244
14,14,True,0.97135913
1121,1121,True,0.70567584
14,14,True,0.91763365
13,13,True,0.997195
6,6,True,0.99653685
13,13,True,0.96377444
961,14,False,0.9312723
13,13,True,0.99808353
13,13,True,0.82914567
961,961,True,0.9999298
9,9,True,0.9995169
13,13,True,0.9985674
941,941,True,0.9814772
10,10,True,0.68468565
10,10,True,0.9999484
14,14,True,0.9967783
941,941,True,0.9997711
4,4,True,0.7712692
13,13,True,0.9959186
14,14,True,0.959523
10,10,True,0.8875522
14,14,True,0.9980062
6,6,True,0.999873
4,4,True,0.9965715
9,9,True,0.8330949
961,961,True,0.9963636
14,14,True,0.6762731
9,9,True,0.99977666
961,14,False,0.91911936
9,9,True,0.9979547
14,14,True,0.82980835
6,6,True,0.9999232
9,9,True,0.7272994
961,961,True,0.9991204
961,961,True,0.9631735
6,6,True,0.5731997
